face_folder,audio_path,label,method,type,category,source_path,true_label,pred_label,prob_fake,threshold,is_correct,error_type
FakeAVCeleb_LipSync/test/0_103_id00945_00107,FakeAVCeleb_LipSync/test/0_103_id00945_00107.wav,0,real,RealVideo-RealAudio,A,D:\Projects\FakeAVCeleb_v1.2\RealVideo-RealAudio/Caucasian (American)/men/id00945\00107.mp4,0,1,0.96923828125,0.5,False,false_fake_real_predicted_fake
FakeAVCeleb_LipSync/test/0_75_id06776_00021,FakeAVCeleb_LipSync/test/0_75_id06776_00021.wav,0,real,RealVideo-RealAudio,A,D:\Projects\FakeAVCeleb_v1.2\RealVideo-RealAudio/Asian (East)/men/id06776\00021.mp4,0,1,0.96484375,0.5,False,false_fake_real_predicted_fake
FakeAVCeleb_LipSync/test/0_322_id04537_00083,FakeAVCeleb_LipSync/test/0_322_id04537_00083.wav,0,real,RealVideo-RealAudio,A,D:\Projects\FakeAVCeleb_v1.2\RealVideo-RealAudio/Asian (South)/men/id04537\00083.mp4,0,1,0.95654296875,0.5,False,false_fake_real_predicted_fake
FakeAVCeleb_LipSync/test/0_127_id09116_00026,FakeAVCeleb_LipSync/test/0_127_id09116_00026.wav,0,real,RealVideo-RealAudio,A,D:\Projects\FakeAVCeleb_v1.2\RealVideo-RealAudio/Asian (East)/women/id09116\00026.mp4,0,1,0.94189453125,0.5,False,false_fake_real_predicted_fake
FakeAVCeleb_LipSync/test/0_571_id03781_00113,FakeAVCeleb_LipSync/test/0_571_id03781_00113.wav,0,real,RealVideo-RealAudio,A,D:\Projects\FakeAVCeleb_v1.2\RealVideo-RealAudio/Caucasian (American)/women/id03781\00113.mp4,0,1,0.84130859375,0.5,False,false_fake_real_predicted_fake
FakeAVCeleb_LipSync/test/0_185_id04820_00015,FakeAVCeleb_LipSync/test/0_185_id04820_00015.wav,0,real,RealVideo-RealAudio,A,D:\Projects\FakeAVCeleb_v1.2\RealVideo-RealAudio/African/women/id04820\00015.mp4,0,1,0.79345703125,0.5,False,false_fake_real_predicted_fake
FakeAVCeleb_LipSync/test/0_868_id00594_00005,FakeAVCeleb_LipSync/test/0_868_id00594_00005.wav,0,real,RealVideo-RealAudio,A,D:\Projects\FakeAVCeleb_v1.2\RealVideo-RealAudio/Caucasian (European)/men/id00594\00005.mp4,0,1,0.61572265625,0.5,False,false_fake_real_predicted_fake
FakeAVCeleb_LipSync/test/0_601_id01163_00195,FakeAVCeleb_LipSync/test/0_601_id01163_00195.wav,0,real,RealVideo-RealAudio,A,D:\Projects\FakeAVCeleb_v1.2\RealVideo-RealAudio/Caucasian (American)/men/id01163\00195.mp4,0,1,0.58740234375,0.5,False,false_fake_real_predicted_fake
FakeAVCeleb_LipSync/test/0_435_id03605_00048,FakeAVCeleb_LipSync/test/0_435_id03605_00048.wav,0,real,RealVideo-RealAudio,A,D:\Projects\FakeAVCeleb_v1.2\RealVideo-RealAudio/Caucasian (American)/women/id03605\00048.mp4,0,1,0.58740234375,0.5,False,false_fake_real_predicted_fake
FakeAVCeleb_LipSync/test/1_767_id06066_00028_id07901_wavtolip,FakeAVCeleb_LipSync/test/1_767_id06066_00028_id07901_wavtolip.wav,1,wav2lip,FakeVideo-RealAudio,C,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-RealAudio/Asian (East)/women/id06066\00028_id07901_wavtolip.mp4,1,0,0.165283203125,0.5,False,false_real_fake_predicted_real
FakeAVCeleb_LipSync/test/1_28_id00266_00470_id00368_wavtolip,FakeAVCeleb_LipSync/test/1_28_id00266_00470_id00368_wavtolip.wav,1,wav2lip,FakeVideo-RealAudio,C,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-RealAudio/Caucasian (European)/men/id00266\00470_id00368_wavtolip.mp4,1,0,0.1614990234375,0.5,False,false_real_fake_predicted_real
FakeAVCeleb_LipSync/test/1_190_id03649_00001_id00271_wavtolip,FakeAVCeleb_LipSync/test/1_190_id03649_00001_id00271_wavtolip.wav,1,wav2lip,FakeVideo-RealAudio,C,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-RealAudio/Caucasian (European)/women/id03649\00001_id00271_wavtolip.mp4,1,0,0.08477783203125,0.5,False,false_real_fake_predicted_real
